carrier,flight_number,from city,gate,status,scheduled_time,updated_time
British Airways,5022,Minneapolis| MN,Term T3 - H1B,Arrived,2020-07-23 09:15:00,2020-07-23 09:02:00
Delta Air Lines,2098,Atlanta| GA,Term 2 - E16,In Air,2020-07-23 09:19:00,2020-07-23 10:05:00
American Airlines,3803,San Antonio| TX,Term T3 - L3,Landed,2020-07-23 09:20:00,2020-07-23 08:58:00
British Airways,5542,San Antonio| TX,Term T3 - L3,Landed,2020-07-23 09:20:00,2020-07-23 08:58:00
United Airlines,8533,Toronto,Term 2,Arrived,2020-07-23 09:20:00,2020-07-23 09:05:00
AeroMexico,3097,Detroit| MI,Term 2 - E9,Arrived,2020-07-23 09:25:00,2020-07-23 09:16:00
Spirit Airlines,478,Fort Lauderdale| FL,Term 3 - L5,Arrived,2020-07-23 09:27:00,2020-07-23 09:01:00
Spirit Airlines,992,New Orleans| LA,Term 3 - L7,Arrived,2020-07-23 09:33:00,2020-07-23 09:15:00
American Airlines,8405,Tokyo,Term 5,Arrived,2020-07-23 09:45:00,2020-07-23 09:28:00
AeroMexico,3230,Minneapolis| MN,Term 2 - E17,Arrived,2020-07-23 09:50:00,2020-07-23 09:30:00
Alaska Airlines,4021,Montreal,Term T3 - G9,Arrived,2020-07-23 09:50:00,2020-07-23 09:20:00
WestJet Airlines,6672,Minneapolis| MN,Term 2 - E17,Arrived,2020-07-23 09:50:00,2020-07-23 09:30:00
JetBlue Airways,311,Boston| MA,Term 3 - G2,In Air,2020-07-23 10:19:00,2020-07-23 09:42:00
Emirates Airline,6313,Boston| MA,Term 3 - G2,In Air,2020-07-23 10:19:00,2020-07-23 09:42:00
EVA Airways,660,Anchorage| AK, ,In Air,2020-07-23 10:40:00,2020-07-23 13:31:00
Frontier Airlines,412,Denver| CO,Term 5 - M1,In Air,2020-07-23 10:45:00,2020-07-23 10:09:00
Yangtze River Express,7491,Anchorage| AK, ,No Recent Info - Call Airline,2020-07-23 10:45:00,
Qatar Airways,2705,Miami| FL,Term T3 - H11A,In Air,2020-07-23 10:55:00,2020-07-23 10:32:00
American Airlines,2812,Dallas-Fort Worth| TX,Term T3 - H8,In Air,2020-07-23 10:55:00,2020-07-23 10:26:00
American Airlines,87,London,Term T5 - M13,In Air,2020-07-23 11:05:00,2020-07-23 10:52:00
Iberia Airlines,4209,London,Term T5 - M13,In Air,2020-07-23 11:05:00,2020-07-23 10:52:00
Gulf Air,6687,London,Term T5 - M13,In Air,2020-07-23 11:05:00,2020-07-23 10:52:00
Frontier Airlines,1422,Miami| FL,Term 5 - M2,In Air,2020-07-23 11:24:00,2020-07-23 10:53:00
JetBlue Airways,1105,New York| NY, ,No Takeoff Info - Call Airline,2020-07-23 11:30:00,
Spirit Airlines,847,New York| NY,Term 3 - L11,In Air,2020-07-23 11:43:00,2020-07-23 10:49:00
American Airlines,2754,Dallas-Fort Worth| TX,Term T3 - K16,Departed,2020-07-23 12:04:00,2020-07-23 11:56:00
American Airlines,2302,New York| NY,Term T3 - H5,Departed,2020-07-23 12:13:00,2020-07-23 11:59:00
Alaska Airlines,4102,New York| NY,Term T3 - H5,Departed,2020-07-23 12:13:00,2020-07-23 11:59:00
British Airways,6778,New York| NY,Term T3 - H5,Departed,2020-07-23 12:13:00,2020-07-23 11:59:00
Alaska Airlines,4044,Jacksonville| FL,Term T3 - L6A,Departed,2020-07-23 12:15:00,2020-07-23 12:03:00
British Airways,6529,Kansas City| MO,Term T3 - H3A,Scheduled,2020-07-23 12:15:00,2020-07-23 12:14:00
Qatar Airways,2423,San Francisco| CA,Term T3 - K5,Departed,2020-07-23 12:19:00,2020-07-23 13:49:00
American Airlines,3440,Buffalo| NY,Term T3 - L10A,Scheduled,2020-07-23 12:19:00,2020-07-23 12:19:00
Alaska Airlines,4200,Cleveland| OH,Term T3 - G19A,Scheduled,2020-07-23 12:19:00,2020-07-23 12:19:00
British Airways,4789,Buffalo| NY,Term T3 - L10A,Scheduled,2020-07-23 12:19:00,2020-07-23 12:19:00
Gulf Air,6772,Buffalo| NY,Term T3 - L10A,Scheduled,2020-07-23 12:19:00,2020-07-23 12:19:00
Scandinavian Airlines,943,Copenhagen,Term 5,In Air,2020-07-23 12:20:00,2020-07-23 12:06:00
Malaysia Airlines,9449,Los Angeles| CA,Term T3 - H14,In Air,2020-07-23 12:21:00,2020-07-23 11:54:00
American Airlines,3338,Columbus| OH,Term T3 - L24,Scheduled,2020-07-23 12:22:00,2020-07-23 12:22:00
American Airlines,3525,Bloomington/Normal| IL,Term T3 - L1A,Scheduled,2020-07-23 12:23:00,2020-07-23 12:23:00
Iberia Airlines,4035,Lexington| KY,Term T3 - G20,Scheduled,2020-07-23 12:23:00,2020-07-23 12:23:00
Alaska Airlines,6040,Lexington| KY,Term T3 - G20,Scheduled,2020-07-23 12:23:00,2020-07-23 12:23:00
Qatar Airways,2491,Pittsburgh| PA,Term T3 - L3,Scheduled,2020-07-23 12:24:00,2020-07-23 12:16:00
American Airlines,3366,Appleton| WI,Term T3 - G12,Scheduled,2020-07-23 12:24:00,2020-07-23 12:24:00
Alaska Airlines,4108,Hartford| CT,Term T3 - G5,Scheduled,2020-07-23 12:24:00,2020-07-23 12:24:00
Gulf Air,4158,Pittsburgh| PA,Term T3 - L3,Scheduled,2020-07-23 12:24:00,2020-07-23 12:16:00
Qantas Airways,4581,Detroit| MI,Term T3 - G19,Scheduled,2020-07-23 12:24:00,2020-07-23 12:24:00
British Airways,5136,Hartford| CT,Term T3 - G5,Scheduled,2020-07-23 12:24:00,2020-07-23 12:24:00
Delta Air Lines,1708,Atlanta| GA,Term 2 - E11,Scheduled,2020-07-23 12:25:00,2020-07-23 12:12:00
AeroMexico,3024,Atlanta| GA,Term 2 - E11,Scheduled,2020-07-23 12:25:00,2020-07-23 12:12:00
Alaska Airlines,4557,Miami| FL,Term T3 - K9,In Air,2020-07-23 12:25:00,2020-07-23 11:57:00
British Airways,2454,Toronto,Term T3 - L2A,Scheduled,2020-07-23 12:26:00,2020-07-23 12:33:00
American Airlines,3736,Toronto,Term T3 - L2A,Scheduled,2020-07-23 12:26:00,2020-07-23 12:33:00
American Airlines,1833,Nashville| TN,Term T3 - H6,Scheduled,2020-07-23 12:27:00,2020-07-23 12:34:00
Spirit Airlines,3029,Myrtle Beach| SC,Term 3 - L7,Scheduled,2020-07-23 12:27:00,2020-07-23 12:27:00
American Airlines,3978,Evansville| IN,Term T3 - G14,Delayed,2020-07-23 12:28:00,2020-07-23 13:13:00
British Airways,4913,Evansville| IN,Term T3 - G14,Delayed,2020-07-23 12:28:00,2020-07-23 13:13:00
Qatar Airways,2436,Cincinnati| OH,Term T3 - K1,Scheduled,2020-07-23 12:29:00,2020-07-23 12:29:00
American Airlines,3926,Rochester| MN,Term T3 - G1A,Scheduled,2020-07-23 12:29:00,2020-07-23 12:29:00
Alaska Airlines,4049,Cincinnati| OH,Term T3 - K1,Scheduled,2020-07-23 12:29:00,2020-07-23 12:29:00
Qantas Airways,4870,Cincinnati| OH,Term T3 - K1,Scheduled,2020-07-23 12:29:00,2020-07-23 12:29:00
British Airways,6951,Cedar Rapids| IA,Term T3 - G14A,Scheduled,2020-07-23 12:29:00,2020-07-23 12:29:00
American Airlines,3550,Kalamazoo| MI,Term T3 - G3,Scheduled,2020-07-23 12:30:00,2020-07-23 12:30:00
British Airways,4937,Kalamazoo| MI,Term T3 - G3,Scheduled,2020-07-23 12:30:00,2020-07-23 12:30:00
United Airlines,484,Washington| DC,Term 1 - C23,Scheduled,2020-07-23 12:31:00,2020-07-23 12:06:00
British Airways,5460,San Diego| CA,Term T3 - K15,In Air,2020-07-23 12:31:00,2020-07-23 11:53:00
American Airlines,1290,Reno| NV,Term T3 - H10,In Air,2020-07-23 12:32:00,2020-07-23 12:35:00
British Airways,1787,Reno| NV,Term T3 - H10,In Air,2020-07-23 12:32:00,2020-07-23 12:35:00
American Airlines,3174,Green Bay| WI,Term T3 - G18,Scheduled,2020-07-23 12:34:00,2020-07-23 12:34:00
American Airlines,3641,Dubuque| IA,Term T3 - G8,Scheduled,2020-07-23 12:35:00,2020-07-23 12:35:00
Lufthansa,7791,Aspen| CO,Term 1 - B22,Scheduled,2020-07-23 12:35:00,2020-07-23 12:43:00
American Airlines,3303,Newark| NJ,Term T3 - H1B,Scheduled,2020-07-23 12:36:00,2020-07-23 12:36:00
Alaska Airlines,4542,Newark| NJ,Term T3 - H1B,Scheduled,2020-07-23 12:36:00,2020-07-23 12:36:00
United Airlines,504,Fort Lauderdale| FL,Term 1 - C26,In Air,2020-07-23 12:37:00,2020-07-23 12:05:00
American Airlines,4160,Flint| MI,Term T3 - G7,Scheduled,2020-07-23 12:37:00,2020-07-23 12:37:00
British Airways,4678,Rochester| NY,Term T3 - G11,Scheduled,2020-07-23 12:37:00,2020-07-23 12:37:00
Scandinavian Airlines,9806,Fort Lauderdale| FL,Term 1 - C26,In Air,2020-07-23 12:37:00,2020-07-23 12:05:00
American Airlines,3194,Madison| WI,Term T3 - L8,Scheduled,2020-07-23 12:39:00,2020-07-23 12:39:00
Alaska Airlines,4251,Madison| WI,Term T3 - L8,Scheduled,2020-07-23 12:39:00,2020-07-23 12:39:00
British Airways,6550,Toledo| OH,Term T3 - G10,Scheduled,2020-07-23 12:39:00,2020-07-23 12:39:00
Qatar Airways,2461,Orlando| FL,Term T3 - H15,Scheduled,2020-07-23 12:40:00,2020-07-23 12:42:00
Alaska Airlines,4344,Orlando| FL,Term T3 - H15,Scheduled,2020-07-23 12:40:00,2020-07-23 12:42:00
American Airlines,4496,Memphis| TN,Term T3 - L23,Scheduled,2020-07-23 12:40:00,2020-07-23 12:40:00
British Airways,6667,Traverse City| MI,Term T3 - G16,Scheduled,2020-07-23 12:40:00,2020-07-23 12:40:00
Air New Zealand,2602,Memphis| TN,Term 2 - F7,Scheduled,2020-07-23 12:43:00,2020-07-23 12:43:00
United Airlines,4404,Memphis| TN,Term 2 - F7,Scheduled,2020-07-23 12:43:00,2020-07-23 12:43:00
Lufthansa,8819,Memphis| TN,Term 2 - F7,Scheduled,2020-07-23 12:43:00,2020-07-23 12:43:00
United Airlines,3608,Raleigh/Durham| NC,Term 1 - C16,Scheduled,2020-07-23 12:44:00,2020-07-23 12:09:00
Lufthansa,8853,Raleigh/Durham| NC,Term 1 - C16,Scheduled,2020-07-23 12:44:00,2020-07-23 12:09:00
AeroMexico,652,Guadalajara,Term 5,In Air,2020-07-23 12:45:00,2020-07-23 12:07:00
Alaska Airlines,4078,Indianapolis| IN,Term T3 - L4,Scheduled,2020-07-23 12:45:00,2020-07-23 12:45:00
Qantas Airways,4900,Indianapolis| IN,Term T3 - L4,Scheduled,2020-07-23 12:45:00,2020-07-23 12:45:00
Delta Air Lines,8043,Guadalajara,Term 5,In Air,2020-07-23 12:45:00,2020-07-23 12:07:00
Air New Zealand,2756,Pittsburgh| PA,Term 1 - C8,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
United Airlines,4428,Fayetteville/Springdale/| AR,Term 2 - F9,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
Aer Lingus,6580,Wichita| KS,Term 2 - F17,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
Scandinavian Airlines,8756,Pittsburgh| PA,Term 1 - C8,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
Lufthansa,8931,Fayetteville/Springdale/| AR,Term 2 - F9,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
American Airlines,2928,Dallas-Fort Worth| TX,Term T3 - H12,Scheduled,2020-07-23 12:49:00,2020-07-23 12:46:00
Air New Zealand,2892,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
United Airlines,4453,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
Aer Lingus,6396,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
All Nippon Airways,7467,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
Austrian Airlines,7736,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
United Airlines,5629,Columbia| MO,Term 2 - E5,Scheduled,2020-07-23 12:51:00,2020-07-23 12:51:00
Lufthansa,9121,Sioux Falls| SD,Term 2 - F25,Scheduled,2020-07-23 12:51:00,2020-07-23 12:51:00
Air Canada,3191,Norfolk| VA,Term 1 - C2,Scheduled,2020-07-23 12:52:00,2020-07-23 12:52:00
All Nippon Airways,7521,Norfolk| VA,Term 1 - C2,Scheduled,2020-07-23 12:52:00,2020-07-23 12:52:00
Air New Zealand,2170,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Air Canada,3081,Cincinnati| OH,Term 2 - F19,Scheduled,2020-07-23 12:53:00,2020-07-23 12:53:00
SWISS,3325,Cincinnati| OH,Term 2 - F19,Scheduled,2020-07-23 12:53:00,2020-07-23 12:53:00
LOT Polish Airlines,4334,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Aer Lingus,6008,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
All Nippon Airways,7599,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Lufthansa,8619,Cincinnati| OH,Term 2 - F19,Scheduled,2020-07-23 12:53:00,2020-07-23 12:53:00
Scandinavian Airlines,9782,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Air Canada,3006,Philadelphia| PA,Term 1 - B5,Scheduled,2020-07-23 12:54:00,2020-07-23 12:54:00
United Airlines,3780,South Bend| IN,Term 2 - F18,Scheduled,2020-07-23 12:54:00,2020-07-23 12:54:00
All Nippon Airways,7595,Philadelphia| PA,Term 1 - B5,Scheduled,2020-07-23 12:54:00,2020-07-23 12:54:00
United Airlines,1161,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
LOT Polish Airlines,4364,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
Scandinavian Airlines,6742,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
Lufthansa,7493,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
Air New Zealand,2666,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
Air Canada,3675,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
All Nippon Airways,7397,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
United Airlines,5259,Baltimore| MD,Term 1 - B12,Scheduled,2020-07-23 12:58:00,2020-07-23 12:58:00
Aer Lingus,6373,Sacramento| CA,Term 1 - B7,In Air,2020-07-23 12:58:00,2020-07-23 12:52:00
Scandinavian Airlines,8888,Sacramento| CA,Term 1 - B7,In Air,2020-07-23 12:58:00,2020-07-23 12:52:00
Air New Zealand,2612,Miami| FL,Term 1 - C1,Departed,2020-07-23 12:59:00,2020-07-23 12:18:00
United Airlines,3682,Miami| FL,Term 1 - C1,Departed,2020-07-23 12:59:00,2020-07-23 12:18:00
Air Canada,5913,Dallas-Fort Worth| TX,Term 1 - C5,Scheduled,2020-07-23 12:59:00,2020-07-23 12:59:00
All Nippon Airways,7573,New York| NY,Term 1 - C24,Scheduled,2020-07-23 12:59:00,2020-07-23 12:39:00
Austrian Airlines,7712,Miami| FL,Term 1 - C1,Departed,2020-07-23 12:59:00,2020-07-23 12:18:00
United Airlines,3997,Moline| IL,Term 2 - E1,Scheduled,2020-07-23 13:00:00,2020-07-23 13:00:00
Air New Zealand,2022,Atlanta| GA,Term 1 - C3,Scheduled,2020-07-23 13:01:00,2020-07-23 13:01:00
Lufthansa,7445,Atlanta| GA,Term 1 - C3,Scheduled,2020-07-23 13:01:00,2020-07-23 13:01:00
Scandinavian Airlines,9747,Atlanta| GA,Term 1 - C3,Scheduled,2020-07-23 13:01:00,2020-07-23 13:01:00
United Airlines,465,Orange County| CA,Term 1 - C22,In Air,2020-07-23 13:02:00,2020-07-23 12:51:00
SWISS,3297,Las Vegas| NV,Term 1 - C31,Departed,2020-07-23 13:02:00,2020-07-23 12:52:00
LOT Polish Airlines,4368,Las Vegas| NV,Term 1 - C31,Departed,2020-07-23 13:02:00,2020-07-23 12:52:00
Air Canada,5412,Kansas City| MO,Term 1 - C4,Scheduled,2020-07-23 13:02:00,2020-07-23 13:02:00
All Nippon Airways,6513,Kansas City| MO,Term 1 - C4,Scheduled,2020-07-23 13:02:00,2020-07-23 13:02:00
Austrian Airlines,7744,Las Vegas| NV,Term 1 - C31,Departed,2020-07-23 13:02:00,2020-07-23 12:52:00
Scandinavian Airlines,8808,Las Vegas| NV,Term 1 - C31,Departed,2020-07-23 13:02:00,2020-07-23 12:52:00
Lufthansa,9313,Las Vegas| NV,Term 1 - C31,Departed,2020-07-23 13:02:00,2020-07-23 12:52:00
United Airlines,525,Orlando| FL,Term 1 - C19,Scheduled,2020-07-23 13:03:00,2020-07-23 12:42:00
Air New Zealand,2586,Orlando| FL,Term 1 - C19,Scheduled,2020-07-23 13:03:00,2020-07-23 12:42:00
SWISS,3265,Phoenix| AZ,Term 1 - B6,Departed,2020-07-23 13:03:00,2020-07-23 12:46:00
LOT Polish Airlines,4394,Phoenix| AZ,Term 1 - B6,Departed,2020-07-23 13:03:00,2020-07-23 12:46:00
Air Canada,5262,Phoenix| AZ,Term 1 - B6,Departed,2020-07-23 13:03:00,2020-07-23 12:46:00
Austrian Airlines,7726,Orlando| FL,Term 1 - C19,Scheduled,2020-07-23 13:03:00,2020-07-23 12:42:00
Lufthansa,8751,Birmingham| AL,Term 2 - F15,Scheduled,2020-07-23 13:03:00,2020-07-23 13:03:00
Scandinavian Airlines,9834,Phoenix| AZ,Term 1 - B6,Departed,2020-07-23 13:03:00,2020-07-23 12:46:00
United Airlines,5681,Austin| TX,Term 1 - B2,Scheduled,2020-07-23 13:04:00,2020-07-23 13:08:00
Scandinavian Airlines,6825,Austin| TX,Term 1 - B2,Scheduled,2020-07-23 13:04:00,2020-07-23 13:08:00
Air New Zealand,2404,Grand Rapids| MI,Term 2 - F6,Scheduled,2020-07-23 13:05:00,2020-07-23 13:05:00
United Airlines,4429,Green Bay| WI,Term 2 - F1,Scheduled,2020-07-23 13:05:00,2020-07-23 13:05:00
Qatar Airways,8139,Luxembourg, ,In Air,2020-07-23 13:05:00,
Lufthansa,9411,Grand Rapids| MI,Term 2 - F6,Scheduled,2020-07-23 13:05:00,2020-07-23 13:05:00
United Airlines,3576,Charleston| SC,Term 1 - C27,Scheduled,2020-07-23 13:06:00,2020-07-23 13:06:00
All Nippon Airways,7251,Charleston| SC,Term 1 - C27,Scheduled,2020-07-23 13:06:00,2020-07-23 13:06:00
Air New Zealand,2712,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
Air Canada,3591,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
United Airlines,5497,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
Aer Lingus,6358,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
All Nippon Airways,7611,Tulsa| OK,Term 1 - B9,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
Lufthansa,9081,Omaha| NE,Term 1 - B1,Scheduled,2020-07-23 13:07:00,2020-07-23 13:07:00
Air New Zealand,2650,Madison| WI,Term 2 - F27,Scheduled,2020-07-23 13:08:00,2020-07-23 13:08:00
Aer Lingus,6872,Madison| WI,Term 2 - F27,Scheduled,2020-07-23 13:08:00,2020-07-23 13:08:00
Air New Zealand,2486,Indianapolis| IN,Term 2 - F26,Scheduled,2020-07-23 13:09:00,2020-07-23 13:09:00
United Airlines,5670,Salt Lake City| UT,Term 1 - B21,Scheduled,2020-07-23 13:09:00,2020-07-23 13:06:00
All Nippon Airways,7605,Indianapolis| IN,Term 2 - F26,Scheduled,2020-07-23 13:09:00,2020-07-23 13:09:00
Scandinavian Airlines,9852,Salt Lake City| UT,Term 1 - B21,Scheduled,2020-07-23 13:09:00,2020-07-23 13:06:00
SWISS,3249,Denver| CO,Term 1 - C20,Scheduled,2020-07-23 13:10:00,2020-07-23 13:04:00
United Airlines,3735,Evansville| IN,Term 2 - F12,Scheduled,2020-07-23 13:10:00,2020-07-23 13:10:00
LOT Polish Airlines,4402,San Diego| CA,Term 1 - B11,In Air,2020-07-23 13:10:00,2020-07-23 12:41:00
Air Canada,5596,San Diego| CA,Term 1 - B11,In Air,2020-07-23 13:10:00,2020-07-23 12:41:00
Aer Lingus,6209,San Diego| CA,Term 1 - B11,In Air,2020-07-23 13:10:00,2020-07-23 12:41:00
All Nippon Airways,7537,Evansville| IN,Term 2 - F12,Scheduled,2020-07-23 13:10:00,2020-07-23 13:10:00
Austrian Airlines,7734,Denver| CO,Term 1 - C20,Scheduled,2020-07-23 13:10:00,2020-07-23 13:04:00
Scandinavian Airlines,8760,Denver| CO,Term 1 - C20,Scheduled,2020-07-23 13:10:00,2020-07-23 13:04:00
Air New Zealand,9807,Toronto,Term 2 - F21,Scheduled,2020-07-23 13:10:00,2020-07-23 13:10:00
Air New Zealand,2202,Columbus| OH,Term 1 - C30,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
Air Canada,3041,Milwaukee| WI,Term 2 - F24,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
United Airlines,4422,Louisville| KY,Term 2 - F23,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
All Nippon Airways,7423,Columbus| OH,Term 1 - C30,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
Scandinavian Airlines,8860,Columbus| OH,Term 1 - C30,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
Lufthansa,9133,Louisville| KY,Term 2 - F23,Scheduled,2020-07-23 13:11:00,2020-07-23 13:11:00
United Airlines,708,Seattle| WA,Term 1 - B4,In Air,2020-07-23 13:12:00,2020-07-23 12:54:00
Scandinavian Airlines,3922,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
LOT Polish Airlines,4404,Seattle| WA,Term 1 - B4,In Air,2020-07-23 13:12:00,2020-07-23 12:54:00
Aer Lingus,6158,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
Air China,7274,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
Lufthansa,7542,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
Austrian Airlines,7706,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
Air New Zealand,9665,Los Angeles| CA,Term 1 - C9,In Air,2020-07-23 13:12:00,2020-07-23 13:04:00
Delta Air Lines,1065,New York| NY,Term 2 - E16,Scheduled,2020-07-23 13:15:00,2020-07-23 12:53:00
Air New Zealand,2300,Des Moines| IA,Term 1 - C17,Scheduled,2020-07-23 13:15:00,2020-07-23 13:15:00
United Airlines,3627,Des Moines| IA,Term 1 - C17,Scheduled,2020-07-23 13:15:00,2020-07-23 13:15:00
Air Canada,5383,Des Moines| IA,Term 1 - C17,Scheduled,2020-07-23 13:15:00,2020-07-23 13:15:00
Gulf Air,6468,Orange County| CA,Term T3 - K8,In Air,2020-07-23 13:15:00,2020-07-23 13:00:00
Lufthansa,8763,Des Moines| IA,Term 1 - C17,Scheduled,2020-07-23 13:15:00,2020-07-23 13:15:00
Scandinavian Airlines,9800,Des Moines| IA,Term 1 - C17,Scheduled,2020-07-23 13:15:00,2020-07-23 13:15:00
Air Canada,3090,Nashville| TN,Term 1 - B20,Scheduled,2020-07-23 13:16:00,2020-07-23 13:16:00
United Airlines,5112,Muskegon| MI,Term 1 - B24,Scheduled,2020-07-23 13:16:00,2020-07-23 13:16:00
Lufthansa,8535,Nashville| TN,Term 1 - B20,Scheduled,2020-07-23 13:16:00,2020-07-23 13:16:00
Air New Zealand,2322,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
Air Canada,4042,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
United Airlines,5543,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
Aer Lingus,6071,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
Lufthansa,7473,Detroit| MI,Term 1 - B10,Scheduled,2020-07-23 13:17:00,2020-07-23 13:17:00
All Nippon Airways,7787,Boston| MA,Term 1 - B18,Scheduled,2020-07-23 13:17:00,2020-07-23 13:12:00
Scandinavian Airlines,9756,Boston| MA,Term 1 - B18,Scheduled,2020-07-23 13:17:00,2020-07-23 13:12:00
Air New Zealand,2272,Washington| DC,Term 1 - C28,Scheduled,2020-07-23 13:19:00,2020-07-23 13:19:00
Scandinavian Airlines,9796,Washington| DC,Term 1 - C28,Scheduled,2020-07-23 13:19:00,2020-07-23 13:19:00
United Airlines,5126,Hancock| MI,Term 2 - E12,Scheduled,2020-07-23 13:20:00,2020-07-23 13:20:00
Air Canada,5904,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
Austrian Airlines,7718,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
Lufthansa,7785,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
Air New Zealand,9306,San Francisco| CA,Term 1 - C21,In Air,2020-07-23 13:20:00,2020-07-23 13:18:00
American Airlines,3643,Sioux City| IA,Term T3 - G8,Scheduled,2020-07-23 13:34:00,2020-07-23 13:34:00
All Nippon Airways,7006,Tokyo,INTL,In Air,2020-07-23 13:40:00,2020-07-23 12:48:00
SriLankan Airlines,3170,Doha,Term 5,In Air,2020-07-23 13:45:00,2020-07-23 13:17:00
Qatar Airways,2936,Baltimore| MD,Term T3 - G3,Scheduled,2020-07-23 13:51:00,2020-07-23 13:51:00
Alaska Airlines,4649,Baltimore| MD,Term T3 - G3,Scheduled,2020-07-23 13:51:00,2020-07-23 13:51:00
Gulf Air,4302,Jacksonville| FL,Term T3 - L23,Delayed,2020-07-23 13:52:00,2020-07-23 15:16:00
Qatar Airways,7624,Jacksonville| FL,Term T3 - L23,Delayed,2020-07-23 13:52:00,2020-07-23 15:16:00
Alaska Airlines,4293,Washington| DC,Term T3 - K20,Scheduled,2020-07-23 13:53:00,2020-07-23 13:53:00
American Airlines,3276,Grand Rapids| MI,Term T3 - G5,Scheduled,2020-07-23 13:54:00,2020-07-23 13:54:00
British Airways,6796,Grand Rapids| MI,Term T3 - G5,Scheduled,2020-07-23 13:54:00,2020-07-23 13:54:00
American Airlines,4167,White Plains| NY,Term T3 - L10A,Scheduled,2020-07-23 13:58:00,2020-07-23 13:58:00
Qatar Airways,7726,White Plains| NY,Term T3 - L10A,Scheduled,2020-07-23 13:58:00,2020-07-23 13:58:00
American Airlines,4182,Marquette| MI,Term T3 - G12,Scheduled,2020-07-23 13:59:00,2020-07-23 13:59:00
British Airways,5285,Columbus| OH,Term T3 - G20,Scheduled,2020-07-23 13:59:00,2020-07-23 13:59:00
