carrier,flight_number,from city,gate,status,scheduled_time,updated_time
Qatar Airways,2850,Columbus| OH,Term T3 - L24,Scheduled,2020-07-23 12:22:00,2020-07-23 12:22:00
British Airways,4594,Columbus| OH,Term T3 - L24,Scheduled,2020-07-23 12:22:00,2020-07-23 12:22:00
British Airways,4925,Lexington| KY,Term T3 - G20,Scheduled,2020-07-23 12:23:00,2020-07-23 12:23:00
American Airlines,2796,Miami| FL,Term T3 - K9,In Air,2020-07-23 12:25:00,2020-07-23 11:57:00
Cargolux Airlines,4314,Hong Kong, ,LandedDiversion,2020-07-23 12:25:00,
Qatar Airways,9269,Miami| FL,Term T3 - K9,In Air,2020-07-23 12:25:00,2020-07-23 11:57:00
Qantas Airways,3305,Toronto,Term T3 - L2A,Scheduled,2020-07-23 12:26:00,2020-07-23 12:33:00
Alaska Airlines,4036,Toronto,Term T3 - L2A,Scheduled,2020-07-23 12:26:00,2020-07-23 12:33:00
Qatar Airways,2438,Nashville| TN,Term T3 - H6,Scheduled,2020-07-23 12:27:00,2020-07-23 12:34:00
British Airways,4374,Nashville| TN,Term T3 - H6,Scheduled,2020-07-23 12:27:00,2020-07-23 12:34:00
Alaska Airlines,4648,Milwaukee| WI,Term T3 - G13,Scheduled,2020-07-23 12:28:00,2020-07-23 12:28:00
United Airlines,2811,Amsterdam,Term 1 - C10,In Air,2020-07-23 12:30:00,2020-07-23 12:00:00
American Airlines,1458,San Diego| CA,Term T3 - K15,In Air,2020-07-23 12:31:00,2020-07-23 11:53:00
American Airlines,3474,State College| PA,Term T3 - G21,Scheduled,2020-07-23 12:33:00,2020-07-23 12:42:00
British Airways,5126,Green Bay| WI,Term T3 - G18,Scheduled,2020-07-23 12:34:00,2020-07-23 12:34:00
United Airlines,5225,Aspen| CO,Term 1 - B22,Scheduled,2020-07-23 12:35:00,2020-07-23 12:43:00
Qatar Airways,2455,Newark| NJ,Term T3 - H1B,Scheduled,2020-07-23 12:36:00,2020-07-23 12:36:00
United Airlines,3759,Duluth| MN,Term 2 - F20,Scheduled,2020-07-23 12:36:00,2020-07-23 12:36:00
British Airways,4582,Newark| NJ,Term T3 - H1B,Scheduled,2020-07-23 12:36:00,2020-07-23 12:36:00
Air New Zealand,2376,Fort Lauderdale| FL,Term 1 - C26,In Air,2020-07-23 12:37:00,2020-07-23 12:05:00
Alaska Airlines,4094,Rochester| NY,Term T3 - G11,Scheduled,2020-07-23 12:37:00,2020-07-23 12:37:00
United Airlines,3783,Springfield| MO,Term 2 - F28,Scheduled,2020-07-23 12:38:00,2020-07-23 12:38:00
United Airlines,3575,Traverse City| MI,Term 1 - C7,Scheduled,2020-07-23 12:42:00,2020-07-23 12:42:00
Air Canada,3993,Memphis| TN,Term 2 - F7,Scheduled,2020-07-23 12:43:00,2020-07-23 12:43:00
Aer Lingus,6628,Memphis| TN,Term 2 - F7,Scheduled,2020-07-23 12:43:00,2020-07-23 12:43:00
Air New Zealand,2792,Raleigh/Durham| NC,Term 1 - C16,Scheduled,2020-07-23 12:44:00,2020-07-23 12:09:00
All Nippon Airways,7781,Raleigh/Durham| NC,Term 1 - C16,Scheduled,2020-07-23 12:44:00,2020-07-23 12:09:00
